run_id,model_name,actual_class,predicted_class,count,date_trained
run_01_seed42,Logistic Regression,ham (0),ham (0),657,2026-05-13 01:12:05
run_01_seed42,Logistic Regression,ham (0),spam (1),49,2026-05-13 01:12:05
run_01_seed42,Logistic Regression,spam (1),ham (0),1,2026-05-13 01:12:05
run_01_seed42,Logistic Regression,spam (1),spam (1),292,2026-05-13 01:12:05
run_01_seed42,Naive Bayes,ham (0),ham (0),703,2026-05-13 01:12:06
run_01_seed42,Naive Bayes,ham (0),spam (1),3,2026-05-13 01:12:06
run_01_seed42,Naive Bayes,spam (1),ham (0),77,2026-05-13 01:12:06
run_01_seed42,Naive Bayes,spam (1),spam (1),216,2026-05-13 01:12:06
run_01_seed42,Support Vector Machine,ham (0),ham (0),692,2026-05-13 01:12:07
run_01_seed42,Support Vector Machine,ham (0),spam (1),14,2026-05-13 01:12:07
run_01_seed42,Support Vector Machine,spam (1),ham (0),2,2026-05-13 01:12:07
run_01_seed42,Support Vector Machine,spam (1),spam (1),291,2026-05-13 01:12:07
run_01_seed42,Random Forest,ham (0),ham (0),683,2026-05-13 01:12:13
run_01_seed42,Random Forest,ham (0),spam (1),23,2026-05-13 01:12:13
run_01_seed42,Random Forest,spam (1),ham (0),13,2026-05-13 01:12:13
run_01_seed42,Random Forest,spam (1),spam (1),280,2026-05-13 01:12:13
run_02_seed7,Logistic Regression,ham (0),ham (0),669,2026-05-13 01:12:14
run_02_seed7,Logistic Regression,ham (0),spam (1),37,2026-05-13 01:12:14
run_02_seed7,Logistic Regression,spam (1),ham (0),2,2026-05-13 01:12:14
run_02_seed7,Logistic Regression,spam (1),spam (1),291,2026-05-13 01:12:14
run_02_seed7,Naive Bayes,ham (0),ham (0),703,2026-05-13 01:12:14
run_02_seed7,Naive Bayes,ham (0),spam (1),3,2026-05-13 01:12:14
run_02_seed7,Naive Bayes,spam (1),ham (0),66,2026-05-13 01:12:14
run_02_seed7,Naive Bayes,spam (1),spam (1),227,2026-05-13 01:12:14
run_02_seed7,Support Vector Machine,ham (0),ham (0),688,2026-05-13 01:12:15
run_02_seed7,Support Vector Machine,ham (0),spam (1),18,2026-05-13 01:12:15
run_02_seed7,Support Vector Machine,spam (1),ham (0),4,2026-05-13 01:12:15
run_02_seed7,Support Vector Machine,spam (1),spam (1),289,2026-05-13 01:12:15
run_02_seed7,Random Forest,ham (0),ham (0),689,2026-05-13 01:12:23
run_02_seed7,Random Forest,ham (0),spam (1),17,2026-05-13 01:12:23
run_02_seed7,Random Forest,spam (1),ham (0),12,2026-05-13 01:12:23
run_02_seed7,Random Forest,spam (1),spam (1),281,2026-05-13 01:12:23
run_03_seed13,Logistic Regression,ham (0),ham (0),671,2026-05-13 01:12:24
run_03_seed13,Logistic Regression,ham (0),spam (1),35,2026-05-13 01:12:24
run_03_seed13,Logistic Regression,spam (1),ham (0),2,2026-05-13 01:12:24
run_03_seed13,Logistic Regression,spam (1),spam (1),291,2026-05-13 01:12:24
run_03_seed13,Naive Bayes,ham (0),ham (0),705,2026-05-13 01:12:24
run_03_seed13,Naive Bayes,ham (0),spam (1),1,2026-05-13 01:12:24
run_03_seed13,Naive Bayes,spam (1),ham (0),82,2026-05-13 01:12:24
run_03_seed13,Naive Bayes,spam (1),spam (1),211,2026-05-13 01:12:24
